Ref,Connectivity,Point.First.Moment,Point.Second.Moment,Visual.Entropy.R2,Visual.Entropy.R3,Visual.Entropy.R4,Visual.Entropy.R5,Visual.Entropy.R6,Visual.Entropy.R7,Visual.Integration..HH..R2,Visual.Integration..HH..R3,Visual.Integration..HH..R4,Visual.Integration..HH..R5,Visual.Integration..HH..R6,Visual.Integration..HH..R7,Visual.Integration..P.value..R2,Visual.Integration..P.value..R3,Visual.Integration..P.value..R4,Visual.Integration..P.value..R5,Visual.Integration..P.value..R6,Visual.Integration..P.value..R7,Visual.Integration..Tekl..R2,Visual.Integration..Tekl..R3,Visual.Integration..Tekl..R4,Visual.Integration..Tekl..R5,Visual.Integration..Tekl..R6,Visual.Integration..Tekl..R7,Visual.Mean.Depth.R2,Visual.Mean.Depth.R3,Visual.Mean.Depth.R4,Visual.Mean.Depth.R5,Visual.Mean.Depth.R6,Visual.Mean.Depth.R7,Visual.Node.Count.R2,Visual.Node.Count.R3,Visual.Node.Count.R4,Visual.Node.Count.R5,Visual.Node.Count.R6,Visual.Node.Count.R7,Visual.Relativised.Entropy.R2,Visual.Relativised.Entropy.R3,Visual.Relativised.Entropy.R4,Visual.Relativised.Entropy.R5,Visual.Relativised.Entropy.R6,Visual.Relativised.Entropy.R7,i,j,x,y,risk
3604535,871,9817897,151887760000,0.99385446,1.5587461,1.9134872,1.9930313,1.9930313,1.9930313,15.249987,9.5632286,7.5467272,7.3203764,7.3203764,7.3203764,1.8206996,1.0882956,0.84003156,0.81303108,0.81303108,0.81303108,0.98723906,0.92212987,0.8941524,0.89077097,0.89077097,0.89077097,1.5461178,1.9148191,2.1857867,2.2252252,2.2252252,2.2252252,1920,2572,2956,2998,2998,2998,2.1303308,1.9643766,1.89474,1.8594785,1.8594785,1.8594785,55,55,-39900,-3500,4
3604536,862,10018443,158902110000,0.99240047,1.5572189,1.9121585,1.9917212,1.9917212,1.9917212,15.110025,9.5348511,7.5316811,7.306448,7.306448,7.306448,1.8036748,1.0850663,0.83835673,0.81148416,0.81148416,0.81148416,0.98590869,0.92177701,0.89393383,0.89056432,0.89056432,0.89056432,1.5512754,1.9175419,2.1881557,2.227561,2.227561,2.227561,1922,2572,2956,2998,2998,2998,2.1367047,1.9673417,1.8968681,1.8615165,1.8615165,1.8615165,55,56,-39900,-2800,4
3604537,850,10180716,165014850000,0.99043167,1.5557479,1.9108785,1.9904592,1.9904592,1.9904592,14.940725,9.4865932,7.5060267,7.2826934,7.2826934,7.2826934,1.7834655,1.0795746,0.83550113,0.80884588,0.80884588,0.80884588,0.98431635,0.92117518,0.89356035,0.89021128,0.89021128,0.89021128,1.5575222,1.9222093,2.1922166,2.231565,2.231565,2.231565,1922,2572,2956,2998,2998,2998,2.1445992,1.9718184,1.8999913,1.864493,1.864493,1.864493,55,57,-39900,-2100,4
3604538,838,10374162,172290380000,0.98823464,1.5541064,1.9094503,1.989051,1.989051,1.989051,14.775177,9.4388218,7.4805465,7.2590928,7.2590928,7.2590928,1.7637042,1.0741382,0.83266497,0.80622476,0.80622476,0.80622476,0.98274672,0.92057711,0.89318848,0.88985962,0.88985962,0.88985962,1.5637689,1.9268767,2.1962774,2.235569,2.235569,2.235569,1922,2572,2956,2998,2998,2998,2.1526859,1.9764491,1.9032519,1.8676054,1.8676054,1.8676054,55,58,-39900,-1400,4
3604539,832,10707429,182696490000,0.98535013,1.5470953,1.904157,1.9838319,1.9838319,1.9838319,14.609393,9.4980307,7.5038967,7.2807207,7.2807207,7.2807207,1.7410446,1.0810112,0.83526409,0.80862683,0.80862683,0.80862683,0.98095214,0.92132527,0.8935293,0.8901819,0.8901819,0.8901819,1.571134,1.9209809,2.192555,2.2318985,2.2318985,2.2318985,1941,2570,2956,2998,2998,2998,2.1624682,1.9763706,1.9046961,1.8691233,1.8691233,1.8691233,55,59,-39900,-700,4
3604540,820,10930615,190730040000,0.99529511,1.5791554,1.9320292,2.0113134,2.0113134,2.0113134,15.218646,8.8683271,7.1624408,6.9638395,6.9638395,6.9638395,1.8394173,1.009342,0.79725641,0.77343267,0.77343267,0.77343267,0.98862106,0.91326135,0.88846314,0.88538533,0.88538533,0.88538533,1.5403588,1.986376,2.2494078,2.2879546,2.2879546,2.2879546,1785,2570,2956,2998,2998,2998,2.1233673,2.0099819,1.9233974,1.8861567,1.8861567,1.8861567,55,60,-39900,0,4
3670017,172,1075160,8565199900,0.7415061,1.2692379,1.7622725,2.0321174,2.0986447,2.0986447,8.9975061,5.5576663,4.6901021,4.3422565,4.2810035,4.2810035,1.2508818,0.65674675,0.52922857,0.48313418,0.47546586,0.47546586,0.92913991,0.86203861,0.84472233,0.83744854,0.8361252,0.8361252,1.7899878,2.5144536,2.8815935,3.0617616,3.0950952,3.0950952,820,2042,2712,2964,2998,2998,2.5895016,2.6623585,2.4492221,2.3247831,2.2883227,2.2883227,56,1,-39200,-41300,6
3670018,176,1068919.1,8695539700,0.71294963,1.2944577,1.7753115,2.0440474,2.1104395,2.1104395,9.0034409,5.69311,4.8108206,4.4351854,4.3700895,4.3700895,1.2295368,0.67043149,0.54285038,0.49347377,0.48536015,0.48536015,0.92761266,0.86459947,0.84724438,0.83948767,0.83809906,0.83809906,1.8044444,2.4836853,2.8343785,3.0185623,3.0523858,3.0523858,901,2085,2712,2964,2998,2998,2.6287444,2.6163337,2.4087892,2.2916403,2.2562327,2.2562327,56,2,-39200,-40600,6
3670019,181,1085623.9,9053729800,0.72682256,1.2971927,1.7774138,2.0459709,2.1123414,2.1123414,9.0693989,5.6912694,4.8098531,4.434444,4.369379,4.369379,1.2401042,0.67021471,0.54274124,0.49339128,0.48528126,0.48528126,0.9287551,0.86456472,0.84722441,0.83947152,0.83808345,0.83808345,1.7975391,2.484165,2.8347473,3.0188997,3.0527194,3.0527194,895,2085,2712,2964,2998,2998,2.6097882,2.6149244,2.4076355,2.290554,2.2551534,2.2551534,56,3,-39200,-39900,6
3670020,195,1296012.9,13037920000,0.73106652,1.2933834,1.7766669,1.8748176,1.8748176,1.8748176,9.2089348,5.7450924,4.8434157,4.7575965,4.7575965,4.7575965,1.2441981,0.66822046,0.53946936,0.52839828,0.52839828,0.52839828,0.92983145,0.86547238,0.84806192,0.84634084,0.84634084,0.84634084,1.795383,2.4890966,2.8464153,2.8852186,2.8852186,2.8852186,954,2248,2944,2998,2998,2998,2.6039488,2.622087,2.4156125,2.3506017,2.3506017,2.3506017,56,4,-39200,-39200,6
